0	100	0	0	0
20	0	100	0	100
40	0	100	0	100
60	0	100	0	100
80	0	100	0	100
100	0	100	0	100
120	0	100	0	100
140	0	100	0	100
160	0	100	0	100
180	0	100	0	100
200	0	100	0	100
220	0	100	0	100
240	0	99	0	99
260	0	99	0	99
280	0	98	0	98
300	0	98	0	98
320	0	97	0	97
340	0	97	0	97
360	0	97	0	97
380	0	97	0	97
400	0	97	0	97
420	0	92	4	96
440	0	76	19	95
460	0	68	27	95
480	0	57	38	95
500	0	49	46	95
520	0	39	56	95
540	0	31	63	94
560	0	22	72	94
580	0	11	81	92
600	0	0	92	92
620	0	0	92	92
640	0	0	91	91
660	0	0	91	91
680	0	0	91	91
700	0	0	91	91
720	191	0	91	91
740	278	40	89	129
760	309	177	89	266
780	183	325	89	414
800	55	453	88	541
820	0	508	87	595
840	0	508	85	593
860	0	508	82	590
880	0	508	80	588
900	0	508	80	588
920	0	508	80	588
940	0	508	80	588
960	0	508	80	588
980	0	508	80	588
1000	0	504	9	513
1020	0	503	9	512
1040	0	502	9	511
1060	0	501	9	510
1080	0	496	9	505
1100	0	494	9	503
1120	0	493	9	502
1140	0	486	12	498
1160	0	473	21	494
1180	0	446	46	492
1200	0	408	80	488
1220	0	360	127	487
1240	0	307	178	485
1260	0	257	227	484
1280	0	216	266	482
1300	0	172	309	481
1320	0	119	362	481
1340	0	81	399	480
1360	0	41	437	478
1380	0	8	223	231
1400	0	0	231	231
1420	0	0	226	226
1440	509	0	225	225
1460	1322	36	224	260
1480	1672	511	224	735
1500	1164	1437	224	1661
1520	415	2186	222	2408
1540	47	2554	222	2776
1560	0	2601	221	2822
1580	0	2601	218	2819
1600	0	2601	216	2817
1620	0	2601	213	2814
1640	0	2601	212	2813
1660	0	2600	210	2810
1680	0	2599	210	2809
1700	0	2588	209	2797
1720	0	2575	207	2782
1740	0	2563	132	2695
1760	0	2543	132	2675
1780	0	2525	131	2656
1800	93	2504	130	2634
1820	666	2493	130	2623
1840	995	2663	130	2793
1860	997	3095	130	3225
1880	427	3618	161	3779
1900	67	3868	262	4130
1920	0	3736	442	4178
1940	0	3529	639	4168
1960	0	3250	899	4149
1980	0	2998	1137	4135
2000	0	2751	1368	4119
2020	0	2525	1571	4096
2040	0	2264	1813	4077
2060	0	2060	2000	4060
2080	0	1836	2187	4023
2100	0	1668	2149	3817
2120	0	1599	2198	3797
2140	0	1573	2196	3769
2160	292	1568	2175	3743
2180	44092	1555	2158	3713
2200	76076	11048	2144	13192
2220	82334	17857	2133	19990
2240	40412	17870	2119	19989
2260	8211	17849	2141	19990
2280	0	17137	2193	19330
2300	0	16021	2304	18325
2320	0	15484	2458	17942
2340	0	14987	2588	17575
2360	0	14540	2690	17230
2380	0	14087	2796	16883
2400	0	13623	2924	16547
2420	0	13165	3036	16201
2440	0	12735	3148	15883
2460	0	12326	3238	15564
2480	0	12007	3161	15168
2500	0	11709	3141	14850
2520	0	11480	3108	14588
2540	62750	11247	3086	14333
